station_id,station_name,latitude,longitude,grid_id
site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,HYD_0219
site_262,"Central University, Hyderabad - TSPCB",17.460103,78.334361,HYD_0162
site_5596,"ECIL Kapra, Hyderabad - TSPCB",17.47,78.57,HYD_1165
site_251,"ICRISAT Patancheru, Hyderabad - TSPCB",17.52,78.27,HYD_0036
site_275,"IDA Pashamylaram, Hyderabad - TSPCB",17.55,78.22,HYD_0001
site_5597,"IITH Kandi, Hyderabad - TSPCB",17.59,78.12,HYD_0001
site_5604,"Kokapet, Hyderabad - TSPCB",17.42,78.33,HYD_0147
site_5599,"Kompally Municipal Office, Hyderabad - TSPCB",17.54,78.49,HYD_0815
site_5600,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",17.43,78.56,HYD_1129
site_5595,"New Malakpet, Hyderabad - TSPCB",17.37,78.52,HYD_0966
site_5602,"Ramachandrapuram, Hyderabad - TSPCB",17.51,78.3,HYD_0086
site_294,"Sanathnagar, Hyderabad - TSPCB",17.46,78.44,HYD_0554
site_5598,"Somajiguda, Hyderabad - TSPCB",17.42,78.45,HYD_0603
site_298,"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,HYD_0611
